guide_id,module,parent_id,level,display_order,title,short_title,subtitle,description,icon,cover_image,button_text,page_type,content_slug,target_url,affiliate_group,affiliate_url,related_guides,estimated_reading_time,thread_url,youtube_url,tags,status,notes
FG052,Flight,FG023,airline,2,香港快運,香港快運,HK Express,,flight,,前往香港快運官網,external,,https://www.hkexpress.com/,,,,0,,,香港快運;HK Express;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG053,Flight,FG023,airline,3,香港航空,香港航空,Hong Kong Airlines,,flight,,前往香港航空官網,external,,https://www.hongkongairlines.com/,,,,0,,,香港航空;Hong Kong Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG054,Flight,FG023,airline,4,新加坡航空,新加坡航空,Singapore Airlines,,flight,,前往新加坡航空官網,external,,https://www.singaporeair.com/,,,,0,,,新加坡航空;Singapore Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG055,Flight,FG023,airline,5,酷航,酷航,Scoot,,flight,,前往酷航官網,external,,https://www.flyscoot.com/,,,,0,,,酷航;Scoot;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG056,Flight,FG023,airline,6,亞洲航空,亞洲航空,AirAsia,,flight,,前往亞洲航空官網,external,,https://www.airasia.com/,,,,0,,,亞洲航空;AirAsia;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG057,Flight,FG023,airline,7,馬來西亞航空,馬來西亞航空,Malaysia Airlines,,flight,,前往馬來西亞航空官網,external,,https://www.malaysiaairlines.com/,,,,0,,,馬來西亞航空;Malaysia Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG058,Flight,FG023,airline,8,Batik Air Malaysia,Batik Air Malaysia,Batik Air Malaysia,,flight,,前往Batik Air Malaysia官網,external,,https://www.batikair.com.my/,,,,0,,,Batik Air Malaysia;Batik Air Malaysia;傳統／混合型航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG059,Flight,FG023,airline,9,越南航空,越南航空,Vietnam Airlines,,flight,,前往越南航空官網,external,,https://www.vietnamairlines.com/,,,,0,,,越南航空;Vietnam Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG060,Flight,FG023,airline,10,越捷航空,越捷航空,VietJet Air,,flight,,前往越捷航空官網,external,,https://www.vietjetair.com/,,,,0,,,越捷航空;VietJet Air;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG061,Flight,FG023,airline,11,泰國航空,泰國航空,Thai Airways,,flight,,前往泰國航空官網,external,,https://www.thaiairways.com/,,,,0,,,泰國航空;Thai Airways;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG062,Flight,FG023,airline,12,泰國亞洲航空,泰國亞洲航空,Thai AirAsia,,flight,,前往泰國亞洲航空官網,external,,https://www.airasia.com/,,,,0,,,泰國亞洲航空;Thai AirAsia;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG063,Flight,FG023,airline,13,泰國獅子航空,泰國獅子航空,Thai Lion Air,,flight,,前往泰國獅子航空官網,external,,https://www.lionairthai.com/,,,,0,,,泰國獅子航空;Thai Lion Air;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG064,Flight,FG023,airline,14,菲律賓航空,菲律賓航空,Philippine Airlines,,flight,,前往菲律賓航空官網,external,,https://www.philippineairlines.com/,,,,0,,,菲律賓航空;Philippine Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG065,Flight,FG023,airline,15,宿霧太平洋航空,宿霧太平洋航空,Cebu Pacific,,flight,,前往宿霧太平洋航空官網,external,,https://www.cebupacificair.com/,,,,0,,,宿霧太平洋航空;Cebu Pacific;廉價航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG066,Flight,FG023,airline,16,汶萊皇家航空,汶萊皇家航空,Royal Brunei Airlines,,flight,,前往汶萊皇家航空官網,external,,https://www.flyroyalbrunei.com/,,,,0,,,汶萊皇家航空;Royal Brunei Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG067,Flight,FG023,airline,17,印尼航空,印尼航空,Garuda Indonesia,,flight,,前往印尼航空官網,external,,https://www.garuda-indonesia.com/,,,,0,,,印尼航空;Garuda Indonesia;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG068,Flight,FG024,airline,1,阿聯酋航空,阿聯酋航空,Emirates,,flight,,前往阿聯酋航空官網,external,,https://www.emirates.com/tw/chinese/,,,,0,,,阿聯酋航空;Emirates;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG069,Flight,FG024,airline,2,卡達航空,卡達航空,Qatar Airways,,flight,,前往卡達航空官網,external,,https://www.qatarairways.com/,,,,0,,,卡達航空;Qatar Airways;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG070,Flight,FG024,airline,3,阿提哈德航空,阿提哈德航空,Etihad Airways,,flight,,前往阿提哈德航空官網,external,,https://www.etihad.com/,,,,0,,,阿提哈德航空;Etihad Airways;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG071,Flight,FG024,airline,4,土耳其航空,土耳其航空,Turkish Airlines,,flight,,前往土耳其航空官網,external,,https://www.turkishairlines.com/,,,,0,,,土耳其航空;Turkish Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG072,Flight,FG024,airline,5,漢莎航空,漢莎航空,Lufthansa,,flight,,前往漢莎航空官網,external,,https://www.lufthansa.com/,,,,0,,,漢莎航空;Lufthansa;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG073,Flight,FG024,airline,6,法國航空,法國航空,Air France,,flight,,前往法國航空官網,external,,https://wwws.airfrance.com.tw/,,,,0,,,法國航空;Air France;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG074,Flight,FG024,airline,7,荷蘭皇家航空 KLM,荷蘭皇家航空 KLM,KLM Royal Dutch Airlines,,flight,,前往荷蘭皇家航空 KLM官網,external,,https://www.klm.com.tw/,,,,0,,,荷蘭皇家航空 KLM;KLM Royal Dutch Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG075,Flight,FG024,airline,8,英國航空,英國航空,British Airways,,flight,,前往英國航空官網,external,,https://www.britishairways.com/,,,,0,,,英國航空;British Airways;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG076,Flight,FG024,airline,9,芬蘭航空,芬蘭航空,Finnair,,flight,,前往芬蘭航空官網,external,,https://www.finnair.com/tw-zh,,,,0,,,芬蘭航空;Finnair;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG077,Flight,FG024,airline,10,瑞士國際航空,瑞士國際航空,SWISS,,flight,,前往瑞士國際航空官網,external,,https://www.swiss.com/,,,,0,,,瑞士國際航空;SWISS;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG078,Flight,FG024,airline,11,奧地利航空,奧地利航空,Austrian Airlines,,flight,,前往奧地利航空官網,external,,https://www.austrian.com/,,,,0,,,奧地利航空;Austrian Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG079,Flight,FG024,airline,12,美國航空,美國航空,American Airlines,,flight,,前往美國航空官網,external,,https://www.aa.com/,,,,0,,,美國航空;American Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG080,Flight,FG024,airline,13,聯合航空,聯合航空,United Airlines,,flight,,前往聯合航空官網,external,,https://www.united.com/,,,,0,,,聯合航空;United Airlines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG081,Flight,FG024,airline,14,達美航空,達美航空,Delta Air Lines,,flight,,前往達美航空官網,external,,https://www.delta.com/,,,,0,,,達美航空;Delta Air Lines;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG082,Flight,FG024,airline,15,加拿大航空,加拿大航空,Air Canada,,flight,,前往加拿大航空官網,external,,https://www.aircanada.com/,,,,0,,,加拿大航空;Air Canada;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG083,Flight,FG024,airline,16,維珍航空,維珍航空,Virgin Atlantic,,flight,,前往維珍航空官網,external,,https://www.virginatlantic.com/,,,,0,,,維珍航空;Virgin Atlantic;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG084,Flight,FG024,airline,17,澳洲航空,澳洲航空,Qantas,,flight,,前往澳洲航空官網,external,,https://www.qantas.com/,,,,0,,,澳洲航空;Qantas;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG085,Flight,FG024,airline,18,紐西蘭航空,紐西蘭航空,Air New Zealand,,flight,,前往紐西蘭航空官網,external,,https://www.airnewzealand.com/,,,,0,,,紐西蘭航空;Air New Zealand;傳統航空;官方網站,published,官方網站按鈕；網址異動時更新 target_url。
FG090,Flight,FG007,credit_offer,1,Visa 優惠,Visa,指定平台與卡別優惠,查看 Visa 台灣目前提供的旅遊與機票合作優惠；活動可能需要指定入口與符合資格的卡片。,credit_card,,查看 Visa 優惠,external,,https://www.visa.com.tw/zh_tw/visa-offers-and-perks/,,,,0,,,Visa;信用卡優惠,published,活動會變動，頁面應顯示最後確認日期。
FG091,Flight,FG007,credit_offer,2,Mastercard 優惠,Mastercard,依卡別與發卡銀行查看,查看 Mastercard 台灣優惠活動；適用卡別、發卡銀行、登錄與期間依活動規則。,credit_card,,查看 Mastercard 優惠,external,,https://www.mastercard.com.tw/zh-tw/personal/offers-and-promotions.html,,,,0,,,Mastercard;信用卡優惠,published,活動會變動，頁面應顯示最後確認日期。
FG092,Flight,FG007,credit_offer,3,American Express Travel,American Express,會員旅遊與點數服務,適合符合資格的美國運通持卡人查看旅遊服務、點數或會員票價，實際福利依卡別與地區而異。,credit_card,,查看 Amex Travel,external,,https://www.americanexpress.com/en-us/travel/flights/,,,,0,,,American Express;Amex Travel;點數,published,台灣持卡人實際可用內容須依發卡地區與卡別確認。
FG093,Flight,FG007,credit_offer,4,發卡銀行優惠,銀行優惠,確認海外消費與旅遊加碼,提醒使用者查看自己的發卡銀行是否有海外消費、指定旅遊平台、分期、哩程、旅遊保險或機場接送優惠。,account_balance,,查看說明,guide,issuer-bank-flight-offers,,,,,0,,,發卡銀行;海外消費;哩程;旅遊保險,published,
FG100,Flight,,knowledge_root,5,機票知識,機票知識,訂票前後都用得到的提醒,集中整理行李規則、廉航注意事項、購票時機與常見問題。,school,,查看機票知識,index,flight-knowledge,,,,,0,,,機票知識;FAQ;行李;廉航,published,
FG101,Flight,FG100,knowledge_category,1,行李規則,行李規則,先確認尺寸、重量與攜帶限制,航空公司的手提與托運額度可能依航線、票價方案與會員資格不同，實際仍以承運航空公司規定為準。,luggage,,查看行李規則,index,flight-baggage-rules,,,,,0,,,行李;手提行李;托運,published,
FG102,Flight,FG100,knowledge_category,2,廉價航空,廉價航空,票價低但附加服務多為另購,廉航票價通常不含托運、選位與餐食，付款前要確認完整總價與退改限制。,flight_takeoff,,查看廉航攻略,index,budget-airline-guide,,,,,0,,,廉航;行李;選位;餐食,published,
FG103,Flight,FG100,knowledge_category,3,常見問題,機票 FAQ,破解常見機票迷思,整理購買時機、無痕模式、平台價差與付款前確認事項。,help,,查看常見問題,index,flight-faq,,,,,0,,,FAQ;機票問題;訂票技巧,published,
FG110,Flight,FG101,knowledge_article,1,手提行李限制,手提行李限制,尺寸、重量與件數,說明手提行李與個人物品的差異，以及尺寸、重量、液體、行動電源與登機門查驗注意事項。,luggage,,閱讀攻略,guide,carry-on-baggage-rules,,,,,6,,,手提行李;登機箱;液體;行動電源,published,
FG111,Flight,FG101,knowledge_article,2,托運行李規定,托運行李規定,重量制、件數制與禁運物品,說明托運額度、超重費、聯程行李、嬰兒推車與不可托運物品。,luggage,,閱讀攻略,guide,checked-baggage-rules,,,,,6,,,托運行李;超重;聯程行李,published,
FG120,Flight,FG102,knowledge_article,1,廉航注意事項,廉航注意事項,總價不只基本票價,說明行李、選位、餐食、報到、機場、改票與退票限制，協助比較廉航與傳統航空的完整成本。,flight_takeoff,,閱讀攻略,guide,budget-airline-tips,,,,,8,,,廉航;附加費;行李;選位,published,
FG130,Flight,FG103,knowledge_article,1,機票什麼時候買？,機票什麼時候買？,沒有適用所有航線的固定答案,教使用者利用價格日曆、追蹤與合理價格區間判斷，而不是迷信固定星期或幾個月前一定最便宜。,schedule,,閱讀解答,guide,when-to-buy-flights,,,,,5,,,購票時機;價格追蹤;機票,published,
FG131,Flight,FG103,knowledge_article,2,無痕模式有用嗎？,無痕模式有用嗎？,無痕模式不保證出現更低價格,說明機票價格主要受到庫存、票價艙等、搜尋條件、地區與幣別影響；無痕模式可減少部分個人化資料，但不是固定降價工具。,visibility_off,,閱讀解答,guide,incognito-flight-prices,,,,,4,,,無痕模式;機票迷思;價格,published,
